label,LII_norm,incisal_rms,tilt_std,width_asym,midline_dev,overbite_proxy
diastema,0.966716597570653,0.03140470224322686,16.978820093583337,0.10942144160446389,0.6845104126311609,
normal,1.0929412608464646,0.036517208740227514,38.13594312818828,0.03349400543496351,0.003957266497108035,
normal,1.518910325646756,0.026085388648361525,8.952916836982569,0.057789539179277594,0.009663224093880733,
crowding,1.4671140446946263,0.031146411217897706,8.15500213941729,0.44991081501479147,0.019387586794049422,-0.3156406215595595
crowding,1.1767636120120877,0.04308808313148175,12.698654856875924,0.04886470618642601,0.008654065710017634,-0.3225598564343368
crowding,3.369768716487797,0.3679059799518352,23.895209937045237,0.287527760025912,0.17710754279057328,
crossbite,3.369768716487797,0.3679059799518352,23.895209937045237,0.287527760025912,0.17710754279057328,
protrusion,1.488531830567335,0.08806945712426642,13.443727443935103,0.11904495844439943,3.16638180419413,
deep bite,1.488531830567335,0.08806945712426642,13.443727443935103,0.11904495844439943,3.16638180419413,
crowding,1.3803600021343174,0.020768120508493065,23.817662247840296,0.047293977693422945,0.00038900029580075907,0.19720350338950088
lain,2.037559096086842,0.08948228489807013,7.026563031243803,0.491631263738989,0.11839310253666291,
